Deinocheirus|DINE-oh-KIRE-us|terrible hand|Osmólska and Roniewicz|1970
Datousaurus|dah-too-SORE-us|Datou lizard|Dong and Tang|1984
Albertaceratops|al-bert-a-serra-tops|Alberta horned face|Ryan|2007
Borogovia|bor-o-goh-vee-a|borogove|Osmólska|1987
Suchomimus|sook-oh-mim-us|crocodile mimic|Sereno, Beck, Dutheil, Gado, Larsson, Lyon, Marcot, Rauhut, Sadleir, Sidor, Varricchio, Wilson and Wilson|1998
Aardonyx|ar-don-ix|Earth claw|Yates, Bonnan, Neveling, Chinsamy and Blackbeard 2010|2009
Ceratosaurus|Keh-RAT-oh-sore-us|horned lizard|Marsh|1884
Dacentrurus|dah-sen-troo-russ|pointed tail|Lucas|1902
Saltopus|sal-to-pus|hopping foot|Huene|1910
Pentaceratops|pent-ah-ker-ah-tops|five-horned face|Osborn|1923
Hypacrosaurus|hi-pak-roh-sore-us|near-topmost lizard|Brown|1913
Dilophosaurus|die-LOAF-oh-sore-us|two-ridged lizard||
Isisaurus|iss-ee-sore-us|ISI (Indian Statistical Institute) lizard|Jain and Bandyopadhyay|1997
Yandusaurus|yen-doo-sore-us|Yandu lizard|He|1979
Dicraeosaurus|die-KRAY-oh-SORE-us|forked lizard|Janensch|1914
Jingshanosaurus|jing-shahn-oh-sore-us|Jingshan lizard|Zhang and Yang|1995
Rinchenia|rin-chen-ee-ah|Rinchen|Barsbold|1986
Nothronychus|noh-thron-i-kus|sloth-like claw|Kirkland and Wolfe|2001
Silvisaurus|sil-vi-sore-us|forest lizard|Eaton|1960
Secernosaurus|see-ser-noh-sore-us|separated lizard|Brett-Surman|1979
Albertosaurus|al-BERT-oh-saw-russ|Alberta lizard|Lamb|1914
Pachyrhinosaurus|pack-ee-RINE-oh-sore-us|thick-nosed lizard|Sternberg|1950
Tylocephale|tie-loh-keff-ah-lee|swelling head|Maryańska and Osmólska|1974
Microceratops|mike-row-ker-ah-tops|tiny horned face; Aral lizard|Bohlin|1953
Gasparinisaura|gas-pah-reen-ee-sore-us|Gasparini's lizard|Coria and Salgado|1996
Lufengosaurus|Loo-FUNG-oh-SORE-us|Lufeng lizard|Young|1941
Rhoetosaurus|reet-oh-sore-us|Rhoetan lizard|Longman|1926
Edmontosaurus|ed-MON-toe-sore-us|Edmonton lizard|Lambe|1917
Shunosaurus|SHOON-oh-SORE-us|Shuno lizard|Dong, Zhou and Zhang|1983
Magyarosaurus|mod-yar-oh-sore-us|Magyar lizard|Nopcsa|1915
Eustreptospondylus|ewe-strep-toe-SPON-die-luss|well-curved vertebra|Walker|1964
Stenopelix|ste-nop-e-liks|narrow pelvis|Meyer|1857
Amargasaurus|A-MARG-oh-sore-us|Amarga lizard|Salgado and Bonaparte|1991
Procompsognathus|pro-comp-sog-nay-thus|before Compsognathus|Fraas|1913
Spinosaurus|SPINE-oh-SORE-us|thorn lizard|Stromer|1915
Janenschia|yan-ensh-ee-ah|named after Janansch|Wild|1991
Oryctodromeus|or-ik-tow-drohm-ee-us|digging runner|Varricchio, Marin and Katsura|2007
Tarchia|tahrk-ee ah|brainy one|Maleev|1956
Omeisaurus|oh-mee-sore-us|Omei lizard|Young|1939
Stegoceras|ste-GOS-er-as|horny roof|Lambe|1902
Barapasaurus|Bar-rap-oh-SORE-us|big leg lizard|Jain, Kutty, Roy-Chowdhury and Chatterjee|1975
Sinraptor|sien-rap-tor|Chinese plunderer|Gao|1992
Acrocanthosaurus|ah-kroh-kan-tho-SORE-us|high-spined lizard|Stovall and Langston|1950
Kotasaurus|koht-a-sore-us|Kota lizard|Yadagiri|1988
Yunnanosaurus|yoo-nahn-oh-sore-us|Yunnan lizard|Young|1942
Chirostenotes|kie-ro-sten-oh-teez|narrow-handed|Gilmore|1924
Giraffatitan|ji-raf-a-tie-tan|giraffe titan|Janensch|1914
Ligabuesaurus|lee-gah-boo-sore-us|[Dr Giancarlo] Ligabue lizard|Bonaparte, González Riga and Apesteguía|2006
Protohadros|proh-toh-had-ros|first hadrosaur|Head|1998
Brachytrachelopan|brak-i-trak-eh-loh-pan|short-necked Pan [shepherd god]|Rauhut, Remes, Fechner, Cladera and Puerta|2005
Malawisaurus|mah-lah-wee-sore-us|Malawi lizard|Haughton|1928
